start_time,tradingsymbol,entry_ltp,entry_ltp_minus_1,low_time,low_ltp,high_time,high_ltp
10/9/2025 9:27,NIFTY25O1425100CE,113.7,112.7,2025-10-09 09:27:00+05:30,109.6,2025-10-09 09:30:00+05:30,124.15
10/9/2025 9:31,NIFTY25O1425100PE,86.3,85.3,2025-10-09 09:31:00+05:30,80.3,2025-10-09 09:32:00+05:30,91.35
10/9/2025 9:34,NIFTY25O1425100CE,109.8,108.8,2025-10-09 09:36:00+05:30,97,2025-10-09 09:38:00+05:30,112.1
10/9/2025 9:39,NIFTY25O1425100PE,86.35,85.35,2025-10-09 09:39:00+05:30,84.7,2025-10-09 09:43:00+05:30,102.1
10/9/2025 9:51,NIFTY25O1425050CE,113.95,112.95,2025-10-09 09:53:00+05:30,106.85,2025-10-09 09:54:00+05:30,120.6
10/9/2025 9:55,NIFTY25O1425050PE,82.65,81.65,2025-10-09 09:55:00+05:30,79.35,2025-10-09 09:56:00+05:30,86.05
10/9/2025 9:57,NIFTY25O1425050CE,115.7,114.7,2025-10-09 10:00:00+05:30,106.25,2025-10-09 09:57:00+05:30,121.85
10/9/2025 10:02,NIFTY25O1425050CE,116.2,115.2,2025-10-09 10:02:00+05:30,113.6,2025-10-09 10:02:00+05:30,120.45
10/9/2025 10:03,NIFTY25O1425050PE,84.55,83.55,2025-10-09 10:03:00+05:30,77.85,2025-10-09 10:05:00+05:30,86.3
10/9/2025 10:06,NIFTY25O1425050CE,114.25,113.25,2025-10-09 10:10:00+05:30,110.55,2025-10-09 10:08:00+05:30,122.45
10/9/2025 10:19,NIFTY25O1425050CE,120.35,119.35,2025-10-09 10:21:00+05:30,115.2,2025-10-09 10:22:00+05:30,127.5
10/9/2025 10:35,NIFTY25O1425100PE,84.6,83.6,2025-10-09 10:36:00+05:30,80.9,2025-10-09 10:35:00+05:30,87.2
10/9/2025 10:37,NIFTY25O1425100CE,112.05,111.05,2025-10-09 10:37:00+05:30,111.5,2025-10-09 10:38:00+05:30,123
10/9/2025 10:39,NIFTY25O1425100PE,80.05,79.05,2025-10-09 10:39:00+05:30,77.5,2025-10-09 10:39:00+05:30,81.2
10/9/2025 10:40,NIFTY25O1425100CE,115.75,114.75,2025-10-09 10:40:00+05:30,112.45,2025-10-09 10:40:00+05:30,116.45
10/9/2025 10:41,NIFTY25O1425100PE,81.3,80.3,2025-10-09 10:42:00+05:30,80.3,2025-10-09 10:41:00+05:30,83.6
10/9/2025 10:43,NIFTY25O1425100CE,113.15,112.15,2025-10-09 10:43:00+05:30,110.1,2025-10-09 10:43:00+05:30,115.9
10/9/2025 10:44,NIFTY25O1425100PE,79.75,78.75,2025-10-09 10:45:00+05:30,76.6,2025-10-09 10:44:00+05:30,81.4
10/9/2025 10:49,NIFTY25O1425100CE,118.25,117.25,2025-10-09 10:49:00+05:30,112.3,2025-10-09 10:49:00+05:30,118.45
10/9/2025 10:50,NIFTY25O1425100PE,80.65,79.65,2025-10-09 10:50:00+05:30,79.75,2025-10-09 10:53:00+05:30,88.75
10/9/2025 10:58,NIFTY25O1425100PE,78.1,77.1,2025-10-09 11:02:00+05:30,64,2025-10-09 10:58:00+05:30,80.7
10/9/2025 11:08,NIFTY25O1425150PE,77.3,76.3,2025-10-09 11:09:00+05:30,72.75,2025-10-09 11:08:00+05:30,84.7
10/9/2025 11:10,NIFTY25O1425150CE,122.25,121.25,2025-10-09 11:11:00+05:30,114.75,2025-10-09 11:12:00+05:30,126.2
10/9/2025 11:13,NIFTY25O1425150CE,123.5,122.5,2025-10-09 11:15:00+05:30,117.05,2025-10-09 11:13:00+05:30,124.3
10/9/2025 11:16,NIFTY25O1425150CE,116.45,115.45,2025-10-09 11:19:00+05:30,106.85,2025-10-09 11:16:00+05:30,118
10/9/2025 11:22,NIFTY25O1425150PE,76,75,2025-10-09 11:25:00+05:30,72.15,2025-10-09 11:24:00+05:30,78.05
10/9/2025 11:29,NIFTY25O1425150PE,74.75,73.75,2025-10-09 11:30:00+05:30,72.05,2025-10-09 11:29:00+05:30,75.5
10/9/2025 11:31,NIFTY25O1425150CE,119.5,118.5,2025-10-09 11:32:00+05:30,112.55,2025-10-09 11:33:00+05:30,121
10/9/2025 11:34,NIFTY25O1425150CE,121,120,2025-10-09 11:34:00+05:30,118.45,2025-10-09 11:37:00+05:30,137.5
10/9/2025 11:43,NIFTY25O1425150CE,123.35,122.35,2025-10-09 11:44:00+05:30,120.6,2025-10-09 11:47:00+05:30,128.55
10/9/2025 11:51,NIFTY25O1425150CE,116.45,115.45,2025-10-09 11:55:00+05:30,112.8,2025-10-09 11:51:00+05:30,124.5
10/9/2025 12:00,NIFTY25O1425150CE,120.1,119.1,2025-10-09 12:00:00+05:30,114.55,2025-10-09 12:00:00+05:30,121.75
10/9/2025 12:01,NIFTY25O1425150PE,72.65,71.65,2025-10-09 12:01:00+05:30,71.6,2025-10-09 12:05:00+05:30,81.4
10/9/2025 12:15,NIFTY25O1425150PE,70.6,69.6,2025-10-09 12:15:00+05:30,68.3,2025-10-09 12:15:00+05:30,75.55
10/9/2025 12:16,NIFTY25O1425150CE,121.85,120.85,2025-10-09 12:16:00+05:30,118.4,2025-10-09 12:18:00+05:30,125.55
10/9/2025 12:22,NIFTY25O1425150CE,121.35,120.35,2025-10-09 12:26:00+05:30,114.25,2025-10-09 12:22:00+05:30,126.65
10/9/2025 12:27,NIFTY25O1425150CE,116.3,115.3,2025-10-09 12:31:00+05:30,111,2025-10-09 12:29:00+05:30,117.5
10/9/2025 12:34,NIFTY25O1425150CE,113.9,112.9,2025-10-09 12:37:00+05:30,111.3,2025-10-09 12:35:00+05:30,118.9
10/9/2025 12:49,NIFTY25O1425150CE,115.8,114.8,2025-10-09 12:53:50+05:30,107.45,2025-10-09 12:49:50+05:30,118.4
10/9/2025 13:07,NIFTY25O1425150CE,109.2,108.2,2025-10-09 13:11:05+05:30,103.85,2025-10-09 13:07:05+05:30,109.4
10/9/2025 13:19,NIFTY25O1425150CE,109.55,108.55,2025-10-09 13:22:45+05:30,105.4,2025-10-09 13:19:45+05:30,112.95
10/9/2025 13:28,NIFTY25O1425150CE,116.2,115.2,2025-10-09 13:29:54+05:30,114.3,2025-10-09 13:30:54+05:30,123.65
10/9/2025 13:32,NIFTY25O1425150PE,66.45,65.45,2025-10-09 13:32:06+05:30,65.65,2025-10-09 13:33:06+05:30,71.15
10/9/2025 13:34,NIFTY25O1425150CE,117.3,116.3,2025-10-09 13:38:07+05:30,110.65,2025-10-09 13:35:07+05:30,121.5
10/9/2025 13:40,NIFTY25O1425150CE,115.3,114.3,2025-10-09 13:41:59+05:30,110.6,2025-10-09 13:40:59+05:30,115.8
10/9/2025 13:43,NIFTY25O1425150PE,71.45,70.45,2025-10-09 13:44:47+05:30,68.3,2025-10-09 13:45:47+05:30,72.4
10/9/2025 13:46,NIFTY25O1425150CE,113.95,112.95,2025-10-09 13:46:07+05:30,113.4,2025-10-09 13:47:07+05:30,121.3
10/9/2025 13:51,NIFTY25O1425150CE,118.55,117.55,2025-10-09 13:52:12+05:30,114.5,2025-10-09 13:55:12+05:30,127.65
10/9/2025 14:14,NIFTY25O1425150CE,109.65,108.65,2025-10-09 14:18:11+05:30,98.85,2025-10-09 14:17:11+05:30,111.55
10/9/2025 14:30,NIFTY25O1425150CE,96.4,95.4,2025-10-09 14:30:46+05:30,94.15,2025-10-09 14:30:46+05:30,99.35
10/9/2025 14:32,NIFTY25O1425150PE,74.3,73.3,2025-10-09 14:32:32+05:30,73.5,2025-10-09 14:34:32+05:30,82.4
10/9/2025 14:38,NIFTY25O1425150CE,96.6,95.6,2025-10-09 14:39:10+05:30,95.6,2025-10-09 14:39:10+05:30,100.85
10/9/2025 14:41,NIFTY25O1425150PE,75.65,74.65,2025-10-09 14:42:00+05:30,67.9,2025-10-09 14:41:00+05:30,76.6
10/9/2025 14:43,NIFTY25O1425150CE,103,102,2025-10-09 14:43:29+05:30,100.3,2025-10-09 14:47:29+05:30,109.8
10/9/2025 14:48,NIFTY25O1425150CE,105.8,104.8,2025-10-09 14:49:51+05:30,98.6,2025-10-09 14:48:51+05:30,106.85
10/9/2025 14:53,NIFTY25O1425150PE,68.85,67.85,2025-10-09 14:56:07+05:30,64.35,2025-10-09 14:53:07+05:30,68.7
10/9/2025 15:09,NIFTY25O1425200PE,77.1,76.1,2025-10-09 15:09:48+05:30,77.05,2025-10-09 15:13:48+05:30,84
2025-10-09 09:27:00,NIFTY25O1425100CE,113.7,112.7,2025-10-09 09:27:00+05:30,109.6,2025-10-09 09:30:00+05:30,124.15,120.9
2025-10-09 09:31:00,NIFTY25O1425100PE,86.3,85.3,2025-10-09 09:31:00+05:30,80.3,2025-10-09 09:32:00+05:30,91.35,89.15
2025-10-09 09:34:00,NIFTY25O1425100CE,109.8,108.8,2025-10-09 09:36:00+05:30,97.0,2025-10-09 09:38:00+05:30,112.1,112.1
2025-10-09 09:39:00,NIFTY25O1425100PE,86.35,85.35,2025-10-09 09:39:00+05:30,84.7,2025-10-09 09:43:00+05:30,102.1,99.5
2025-10-09 09:51:00,NIFTY25O1425050CE,113.95,112.95,2025-10-09 09:53:00+05:30,106.85,2025-10-09 09:54:00+05:30,120.6,120.5
2025-10-09 09:55:00,NIFTY25O1425050PE,82.65,81.65,2025-10-09 09:55:00+05:30,79.35,2025-10-09 09:56:00+05:30,86.05,85.6
2025-10-09 09:57:00,NIFTY25O1425050CE,115.7,114.7,2025-10-09 10:00:00+05:30,106.25,2025-10-09 09:57:00+05:30,121.85,116.75
2025-10-09 10:02:00,NIFTY25O1425050CE,116.2,115.2,2025-10-09 10:02:00+05:30,113.6,2025-10-09 10:02:00+05:30,120.45,119.85
2025-10-09 10:03:00,NIFTY25O1425050PE,84.55,83.55,2025-10-09 10:03:00+05:30,77.85,2025-10-09 10:05:00+05:30,86.3,86.2
2025-10-09 10:06:00,NIFTY25O1425050CE,114.25,113.25,2025-10-09 10:10:00+05:30,110.55,2025-10-09 10:08:00+05:30,122.45,111.25
2025-10-09 10:19:00,NIFTY25O1425050CE,120.35,119.35,2025-10-09 10:21:00+05:30,115.2,2025-10-09 10:22:00+05:30,127.5,125.1
2025-10-09 10:35:00,NIFTY25O1425100PE,84.6,83.6,2025-10-09 10:36:00+05:30,80.9,2025-10-09 10:35:00+05:30,87.2,83.8
2025-10-09 10:37:00,NIFTY25O1425100CE,112.05,111.05,2025-10-09 10:37:00+05:30,111.5,2025-10-09 10:38:00+05:30,123.0,115.8
2025-10-09 10:39:00,NIFTY25O1425100PE,80.05,79.05,2025-10-09 10:39:00+05:30,77.5,2025-10-09 10:39:00+05:30,81.2,80.45
2025-10-09 10:40:00,NIFTY25O1425100CE,115.75,114.75,2025-10-09 10:40:00+05:30,112.45,2025-10-09 10:40:00+05:30,116.45,112.85
2025-10-09 10:41:00,NIFTY25O1425100PE,81.3,80.3,2025-10-09 10:42:00+05:30,80.3,2025-10-09 10:41:00+05:30,83.6,82.0
2025-10-09 10:43:00,NIFTY25O1425100CE,113.15,112.15,2025-10-09 10:43:00+05:30,110.1,2025-10-09 10:43:00+05:30,115.9,114.65
2025-10-09 10:44:00,NIFTY25O1425100PE,79.75,78.75,2025-10-09 10:45:00+05:30,76.6,2025-10-09 10:44:00+05:30,81.4,77.3
2025-10-09 10:49:00,NIFTY25O1425100CE,118.25,117.25,2025-10-09 10:49:00+05:30,112.3,2025-10-09 10:49:00+05:30,118.45,112.5
2025-10-09 10:50:00,NIFTY25O1425100PE,80.65,79.65,2025-10-09 10:50:00+05:30,79.75,2025-10-09 10:53:00+05:30,88.75,81.75
2025-10-09 10:58:00,NIFTY25O1425100PE,78.1,77.1,2025-10-09 11:02:00+05:30,64.0,2025-10-09 10:58:00+05:30,80.7,65.65
2025-10-09 11:08:00,NIFTY25O1425150PE,77.3,76.3,2025-10-09 11:09:00+05:30,72.75,2025-10-09 11:08:00+05:30,84.7,73.5
2025-10-09 11:10:00,NIFTY25O1425150CE,122.25,121.25,2025-10-09 11:11:00+05:30,114.75,2025-10-09 11:12:00+05:30,126.2,122.0
2025-10-09 11:13:00,NIFTY25O1425150CE,123.5,122.5,2025-10-09 11:15:00+05:30,117.05,2025-10-09 11:13:00+05:30,124.3,117.05
2025-10-09 11:16:00,NIFTY25O1425150CE,116.45,115.45,2025-10-09 11:19:00+05:30,106.85,2025-10-09 11:16:00+05:30,118.0,111.25
2025-10-09 11:22:00,NIFTY25O1425150PE,76.0,75.0,2025-10-09 11:25:00+05:30,72.15,2025-10-09 11:24:00+05:30,78.05,76.15
2025-10-09 11:29:00,NIFTY25O1425150PE,74.75,73.75,2025-10-09 11:30:00+05:30,72.05,2025-10-09 11:29:00+05:30,75.5,72.85
2025-10-09 11:31:00,NIFTY25O1425150CE,119.5,118.5,2025-10-09 11:32:00+05:30,112.55,2025-10-09 11:33:00+05:30,121.0,120.35
2025-10-09 11:34:00,NIFTY25O1425150CE,121.0,120.0,2025-10-09 11:34:00+05:30,118.45,2025-10-09 11:37:00+05:30,137.5,131.1
2025-10-09 11:43:00,NIFTY25O1425150CE,123.35,122.35,2025-10-09 11:44:00+05:30,120.6,2025-10-09 11:47:00+05:30,128.55,127.95
2025-10-09 11:51:00,NIFTY25O1425150CE,116.45,115.45,2025-10-09 11:55:00+05:30,112.8,2025-10-09 11:51:00+05:30,124.5,113.1
2025-10-09 12:00:00,NIFTY25O1425150CE,120.1,119.1,2025-10-09 12:00:00+05:30,114.55,2025-10-09 12:00:00+05:30,121.75,121.2
2025-10-09 12:01:00,NIFTY25O1425150PE,72.65,71.65,2025-10-09 12:01:00+05:30,71.6,2025-10-09 12:05:00+05:30,81.4,80.4
2025-10-09 12:15:00,NIFTY25O1425150PE,70.6,69.6,2025-10-09 12:15:00+05:30,68.3,2025-10-09 12:15:00+05:30,75.55,68.35
2025-10-09 12:16:00,NIFTY25O1425150CE,121.85,120.85,2025-10-09 12:16:00+05:30,118.4,2025-10-09 12:18:00+05:30,125.55,122.9
2025-10-09 12:22:00,NIFTY25O1425150CE,121.35,120.35,2025-10-09 12:26:00+05:30,114.25,2025-10-09 12:22:00+05:30,126.65,115.0
2025-10-09 12:27:00,NIFTY25O1425150CE,116.3,115.3,2025-10-09 12:31:00+05:30,111.0,2025-10-09 12:29:00+05:30,117.5,113.2
2025-10-09 12:34:00,NIFTY25O1425150CE,113.9,112.9,2025-10-09 12:37:00+05:30,111.3,2025-10-09 12:35:00+05:30,118.9,111.85
2025-10-09 12:49:50,NIFTY25O1425150CE,115.8,114.8,2025-10-09 12:53:50+05:30,107.45,2025-10-09 12:49:50+05:30,118.4,107.8
2025-10-09 13:07:05,NIFTY25O1425150CE,109.2,108.2,2025-10-09 13:11:05+05:30,103.85,2025-10-09 13:07:05+05:30,109.4,104.7
2025-10-09 13:19:45,NIFTY25O1425150CE,109.55,108.55,2025-10-09 13:22:45+05:30,105.4,2025-10-09 13:19:45+05:30,112.95,109.05
2025-10-09 13:28:54,NIFTY25O1425150CE,116.2,115.2,2025-10-09 13:29:54+05:30,114.3,2025-10-09 13:30:54+05:30,123.65,121.55
2025-10-09 13:32:06,NIFTY25O1425150PE,66.45,65.45,2025-10-09 13:32:06+05:30,65.65,2025-10-09 13:33:06+05:30,71.15,69.65
2025-10-09 13:34:07,NIFTY25O1425150CE,117.3,116.3,2025-10-09 13:38:07+05:30,110.65,2025-10-09 13:35:07+05:30,121.5,114.0
2025-10-09 13:40:59,NIFTY25O1425150CE,115.3,114.3,2025-10-09 13:41:59+05:30,110.6,2025-10-09 13:40:59+05:30,115.8,113.6
2025-10-09 13:43:47,NIFTY25O1425150PE,71.45,70.45,2025-10-09 13:44:47+05:30,68.3,2025-10-09 13:45:47+05:30,72.4,71.9
2025-10-09 13:46:07,NIFTY25O1425150CE,113.95,112.95,2025-10-09 13:46:07+05:30,113.4,2025-10-09 13:47:07+05:30,121.3,118.15
2025-10-09 13:51:12,NIFTY25O1425150CE,118.55,117.55,2025-10-09 13:52:12+05:30,114.5,2025-10-09 13:55:12+05:30,127.65,121.95
2025-10-09 14:14:11,NIFTY25O1425150CE,109.65,108.65,2025-10-09 14:18:11+05:30,98.85,2025-10-09 14:17:11+05:30,111.55,100.2
2025-10-09 14:30:46,NIFTY25O1425150CE,96.4,95.4,2025-10-09 14:30:46+05:30,94.15,2025-10-09 14:30:46+05:30,99.35,98.1
2025-10-09 14:32:32,NIFTY25O1425150PE,74.3,73.3,2025-10-09 14:32:32+05:30,73.5,2025-10-09 14:34:32+05:30,82.4,76.9
2025-10-09 14:38:10,NIFTY25O1425150CE,96.6,95.6,2025-10-09 14:39:10+05:30,95.6,2025-10-09 14:39:10+05:30,100.85,97.95
2025-10-09 14:41:00,NIFTY25O1425150PE,75.65,74.65,2025-10-09 14:42:00+05:30,67.9,2025-10-09 14:41:00+05:30,76.6,70.7
2025-10-09 14:43:29,NIFTY25O1425150CE,103.0,102.0,2025-10-09 14:43:29+05:30,100.3,2025-10-09 14:47:29+05:30,109.8,108.2
2025-10-09 14:48:51,NIFTY25O1425150CE,105.8,104.8,2025-10-09 14:49:51+05:30,98.6,2025-10-09 14:48:51+05:30,106.85,105.3
2025-10-09 14:53:07,NIFTY25O1425150PE,68.85,67.85,2025-10-09 14:56:07+05:30,64.35,2025-10-09 14:53:07+05:30,68.7,65.0
2025-10-09 15:09:48,NIFTY25O1425200PE,77.1,76.1,2025-10-09 15:09:48+05:30,77.05,2025-10-09 15:13:48+05:30,84.0,83.85
